Index #,Timestamp,Formal section,Gender,Function,Vocal delivery,Environment,Layering,Width
,,,,,,,,
1,14.08648526,Chorus,M,Feat,S,E1,L1,W1
,,,,,,,,
1,28.19623583,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
2,27.19793651,Verse,M,Neither,S,E4,L1,W4
,,,,,,,,
2,69.81743764,Chorus,M,Neither,S,E4,L1,W4
,,,,,,,,
4,16.59072562,Chorus,W,Neither,S,E3,L1,W4
,,,,,,,,
4,33.00337869,Verse,M,Neither,S,E4,L1,W4
,,,,,,,,
5,5.017709751,Verse,M,Neither,S,E2,L1,W3
,,,,,,,,
5,42.54945578,Chorus,M,Neither,S,E1,L3,W5
,,,,,,,,
6,11.38247166,Verse,M,Feat,R,E1,L1,W1
,,,,,,,,
6,44.80294785,Chorus,M,Feat,R,E1,L1,W1
,,,,,,,,
7,14.96920635,Verse,M,Neither,S,E4,L1,W3
,,,,,,,,
7,105.0941723,Chorus,W,Neither,S,E4,L1,W3
,,,,,,,,
8,10.34079365,Verse,M,Feat,S,E1,L1,W1
,,,,,,,,
8,51.63417234,Chorus,M,Feat,S,E1,L1,W1
,,,,,,,,
10,15.00918367,Verse,M,Main ,S,E4,L1,W3
,,,,,,,,
10,40.57172336,Chorus,M,Main ,S,E4,L2,W4
,,,,,,,,
11,9.842222222,Chorus,M,Feat,S,E2,L1,W3
,,,,,,,,
11,49.0546712,Verse,M,Feat,R,E2,L1,W3
,,,,,,,,
12,19.10145125,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
12,47.6738322,Chorus,M,Main,R,E1,L1,W1
,,,,,,,,
14,3.041360544,Verse,W,Main,S,E2,L2,W4
,,,,,,,,
14,34.61897959,Chorus,W,Main,S,E1,L5,W5
,,,,,,,,
15,59.52548753,Verse,M,Main,S,E4,L2,W4
,,,,,,,,
15,89.10045352,Chorus,M,Main,S,E2,L2,W4
,,,,,,,,
16,10.66521542,Chorus,M,Main,S,E3,L1,W4
,,,,,,,,
16,33.56156463,Verse,M,Main,S,E3,L1,W4
,,,,,,,,
17,16.06521542,Verse,M,Main,S,E4,L2,W4
,,,,,,,,
17,57.40097506,Chorus,M,Main,S,E2,L4,W5
,,,,,,,,
19,9.950113379,Chorus,M,Feat,S,E1,L3,W3
,,,,,,,,
19,39.97666667,Verse,M,Feat,S,E3,L1,W3
,,,,,,,,
20,6.87521542,Verse,W,Main,S,E3,L1,W3
,,,,,,,,
20,35.1376644,Chorus,W,Main,S,E4,L2,W4
,,,,,,,,
21,19.6806576,Chorus,M,Neither,S,E5,L1,W4
,,,,,,,,
21,39.31430839,Verse,M,Neither,R,E2,L1,W3
,,,,,,,,
22,10.18995465,Verse,W,Main,S,E1,L4,W5
,,,,,,,,
22,30.63557823,Chorus,M,Main,S,E3,L3,W5
,,,,,,,,
23,10.35823129,Chorus,M,Main,S,E2,L2,W4
,,,,,,,,
23,32.25027211,Verse,M,Main,S,E2,L2,W4
,,,,,,,,
24,2.365804989,Verse,M,Neither,S,E1,L2,W4
,,,,,,,,
24,53.41573696,Chorus,M,Neither,S,E2,L1,W4
,,,,,,,,
25,27.51736962,Chorus,M,Main,R,E2,L4,W5
,,,,,,,,
25,41.24501134,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
26,14.74632653,Verse,W,Main,R,E1,L2,W2
,,,,,,,,
26,44.29900227,Chorus,W,Main,R,E1,L3,W4
,,,,,,,,
27,10.70938776,Chorus,M,Neither,S,E3,L1,W3
,,,,,,,,
27,30.08451247,Verse,W,Neither,R,E2,L1,W4
,,,,,,,,
28,2.399410431,Chorus,M,Main,S,E5,L1,W5
,,,,,,,,
28,40.79401361,Verse,M,Main,S,E4,L1,W4
,,,,,,,,
29,10.64630386,Verse,W,Neither,S,E3,L1,W4
,,,,,,,,
29,40.62412698,Chorus,W,Neither,S,E2,L3,W5
,,,,,,,,
31,13.83063492,Chorus,M,Main,S,E1,L1,W2
,,,,,,,,
31,41.20732426,Verse,M,Main,S,E2,L1,W4
,,,,,,,,
32,14.74145833,Verse,W,Main,R,E1,L3,W2
,,,,,,,,
32,57.16239583,Chorus,W,Main,R,E1,L3,W4
,,,,,,,,
33,2.278231293,Verse,W,Neither,S,E3,L1,W3
,,,,,,,,
33,29.18882086,Chorus,W,Neither,S,E2,L5,W5
,,,,,,,,
34,8.67725,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
34,39.37729167,Chorus,M,Main,S,E1,L3,W5
,,,,,,,,
35,4.771104167,Verse,W,Feat,R,E2,L1,W4
,,,,,,,,
35,68.8001875,Chorus,M,Main,S,E1,L5,W5
,,,,,,,,
37,13.64848073,Chorus,M,Feat,R,E1,L1,W1
,,,,,,,,
37,41.07367347,Verse,M,Feat,R,E1,L1,W1
,,,,,,,,
38,4.159750567,Verse,M,Neither,R,E1,L1,W2
,,,,,,,,
38,40.1275737,Chorus,M,Neither,R,E1,L1,W2
,,,,,,,,
39,10.18222222,Verse,W,Neither,S,E4,L1,W3
,,,,,,,,
39,50.60430839,Chorus,W,Neither,S,E2,L4,W5
,,,,,,,,
40,11.34963719,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
40,50.54453515,Chorus,M,Main,R,E1,L1,W1
,,,,,,,,
41,10.97972917,Chorus,M,Feat,R,E2,L1,W4
,,,,,,,,
41,43.72575,Verse,M,Main,R,E2,L1,W3
,,,,,,,,
42,15.40745833,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
42,36.292125,Chorus,M,Main,S,E2,L1,W3
,,,,,,,,
43,6.910997732,Chorus,M,Main,S,E1,L1,W1
,,,,,,,,
43,34.87031746,Verse,M,Main,R,E4,L3,W2
,,,,,,,,
44,19.2072562,Chorus,M,Neither,R,E4,L1,W3
,,,,,,,,
44,38.4037868,Verse,M,Neither,R,E4,L1,W3
,,,,,,,,
45,14.39367347,Verse,M,Neither,S,E4,L1,W4
,,,,,,,,
45,52.53623583,Chorus,M,Neither,S,E2,L1,W4
,,,,,,,,
46,13.18371882,Chorus,M,Main,R,E1,L1,W2
,,,,,,,,
46,39.38820862,Verse,M,Main,R,E1,L1,W2
,,,,,,,,
47,0,Chorus,W,Neither,S,E4,L1,W4
,,,,,,,,
47,23.30947917,Verse,M,Neither,R,E1,L1,W1
,,,,,,,,
48,40.4090625,Chorus,W,Neither,S,E3,L1,W5
,,,,,,,,
48,60.29308333,Verse,M,Neither,R,E2,L1,W3
,,,,,,,,
50,9.812222222,Verse,M,Feat,S,E3,L1,W4
,,,,,,,,
